,price
10375,5001
17587,7900
15081,6577
25542,755
15684,6818
9670,4837
21042,10931
31692,984
6012,4095
39597,1712
44199,2302
35139,1196
12284,5522
32234,1010
11729,5359
4451,3724
23929,702
17081,7589
44614,2354
24256,710
7952,4472
41784,1940
25544,755
27626,462
9403,4771
3097,568
13030,5773
21057,10947
16987,7544
10391,5005
25488,752
27140,803
45101,2415
47015,2743
45147,2422
11986,5432
19634,9475
18602,8654
9385,4769
12635,5638
13492,5937
27502,816
33825,1089
25565,755
8888,4668
41648,533
30596,936
11299,5232
29981,911
20712,10553
31261,965
8550,4595
9301,4750
37853,1546
24705,447
6529,4194
43427,540
42249,537
33428,491
41158,1861
31820,485
25564,755
17013,7554
38374,1605
27329,461
5417,3961
44934,2394
35911,1263
22457,658
16231,7130
41976,1962
5453,576
28295,846
44344,2320
16194,7111
43205,2147
9894,4884
22915,672
36832,1364
30689,942
12984,5759
38506,1610
20433,10256
39900,1746
44985,2397
12860,5709
5737,4034
305,2803
37946,1557
31481,975
7092,4304
31304,968
45376,2457
27263,810
11119,5191
37017,1385
22126,645
34957,499
29670,899
32324,1013
41476,1902
41360,1883
28466,854
5308,3929
35740,1244
13503,5939
18895,8866
27956,463
7933,4469
39507,1698
42352,2016
3376,568
13866,6095
13689,6028
33459,1070
28127,842
20666,10487
3006,3372
27178,805
27359,812
42055,1974
14342,6288
34956,499
15800,6890
28731,863
17396,7780
29870,906
32786,489
21402,11360
26791,791
32170,1007
36065,1274
13136,5815
43949,2271
45842,2541
2661,3293
42463,2037
20312,10096
22462,658
16043,7026
26660,453
17205,7654
13278,5864
35623,504
42170,1991
989,2911
3457,3465
36255,1294
14650,6405
9417,4777
24226,709
2781,3312
7265,581
9201,4724
25174,740
14719,6419
8685,4630
38968,1654
29410,886
24327,710
13426,5924
4513,3739
15648,612
40419,1791
43587,2211
7212,4326
2484,3248
22891,671
37542,1436
12150,5497
29730,900
21550,11477
2927,3353
43078,2131
22028,645
35290,503
20835,10698
33663,1080
1268,560
42824,2092
9614,4824
46782,552
41628,532
27841,828
1568,561
37190,1401
2883,3342
22083,429
30825,945
15011,6542
28055,838
9059,4704
4538,3746
7724,4434
42921,2102
40557,1812
28199,844
9579,4812
36222,505
21190,11081
41145,1857
6164,4120
14803,6460
35636,1238
25264,743
34207,1115
5086,3879
28710,863
38655,1625
1922,3120
41209,1869
34570,1144
34767,1160
31720,984
3684,571
3618,3513
20163,9987
26399,778
29556,895
21069,10959
39494,1698
14209,6223
37191,1401
34403,1125
25147,739
30912,948
28036,838
17524,7847
14264,6255
28719,863
35723,1243
14380,608
29963,909
4153,3653
23577,692
7844,4457
32721,1033
33570,1076
42785,2085
2372,3226
41866,1949
46776,2701
3976,571
32713,1033
22180,647
4811,3806
46882,2720
32218,1009
19152,9049
31290,967
9058,4704
20072,9891
24078,706
8998,4692
22321,652
10052,596
10101,4937
24925,732
28314,847
37235,1407
43293,2164
28245,844
1433,3008
45607,2497
15294,421
36776,1358
17943,8154
29994,911
23261,683
34048,492
30556,477
6545,4197
47074,2755
31034,956
46792,552
21160,630
7534,4397
17678,7968
13039,5777
18919,8887
18758,625
46564,2659
3166,3398
14005,6147
25422,748
26815,792
17304,7723
27519,817
42269,2001
5750,576
1835,3105
40359,526
36232,505
25398,746
5640,4009
32197,1008
10622,5061
20590,628
11591,599
44942,2395
9161,4715
32601,1024
46804,552
38454,1608
29165,878
7748,4436
1420,3006
44190,2300
4914,3827
16496,7274
37851,1546
26422,779
37626,1440
44914,2392
43921,2267
28837,868
8782,589
155,2772
15702,6830
35618,504
9727,593
6665,579
33986,1103
41997,1963
29186,878
17287,7708
24075,706
6567,4200
18538,8610
33930,1097
32935,1046
11458,5278
17727,8008
26548,787
5801,4044
1830,3105
37736,508
2438,3246
8193,4516
41594,1915
41587,1915
8837,4661
45169,2425
24421,716
21884,638
4161,3656
661,557
14499,6336
34086,1107
30217,919
26293,776
41080,1847
30315,923
36288,1298
7791,4448
35768,1247
38757,1634
27380,814
6288,4150
2450,562
20414,10222
31024,956
18461,8550
29584,473
37324,1415
1793,3093
24802,730
27747,828
21909,639
10134,4946
30680,942
33615,1079
45825,2536
38136,1578
26121,772
15465,6728
44198,2302
35972,1264
45267,545
14166,6203
15815,6905
15929,6969
16781,7431
12240,602
30654,941
41699,1927
3732,3537
36482,1323
5778,4038
7613,4405
19446,9293
10765,5096
38620,1624
26472,781
30394,927
7029,4286
21554,11481
12960,5752
46898,2723
19532,9371
18562,8630
2494,3250
34850,1170
15485,6741
15996,6989
33468,1071
41244,1875
33196,1056
7722,4432
5255,3916
31258,965
30855,946
14038,6164
12096,5473
36480,1323
27134,803
38531,1614
12619,5628
4460,3726
20165,9996
36013,1268
23586,692
10990,5155
21826,11869
5523,3984
32608,1026
27576,823
26813,792
43153,540
36499,1326
21654,11627
20341,10130
27259,810
29792,904
3802,3561
5799,4043
12195,419
45389,2459
31187,478
38041,1569
24627,723
13958,6128
11339,5242
15689,6822
21816,11859
16089,7056
37703,1448
18443,625
6604,4207
39631,1715
36986,1381
8083,4498
26502,784
22722,362
24782,729
6813,4244
45858,2545
43658,2226
39445,1694
1150,2950
34716,1154
39671,1720
7980,4478
5729,4032
3355,3450
37494,1433
15655,612
20632,10449
44163,2297
6725,4233
31443,974
46126,2586
38482,522
959,558
17829,8061
29715,900
12421,5562
11753,5367
30086,914
9955,4903
47042,2749
21576,11519
21268,11166
23557,689
14218,6230
40468,1800
8731,4640
14490,6334
8329,4553
36653,1343
19497,9339
21108,11007
21189,11079
9176,4718
4987,3850
30860,947
28827,868
18002,8214
13744,6048
45572,548
46620,2671
1989,3139
8516,4588
25554,755
41090,1849
4491,3734
40328,1786
16842,7466
33280,1061
8756,4644
14764,6444
28360,850
6194,4127
9079,4709
25761,761
6211,4131
24253,710
3328,3445
21371,11296
14497,6335
15952,612
6505,4191
5462,3965
40120,1761
24955,734
42348,2016
29974,910
22667,666
25347,449
5446,576
28495,854
38703,1629
1422,3007
18071,8270
5708,4028
15069,6566
23142,679
39918,1746
28492,854
23349,684
43836,2252
40512,1806
16528,7288
21484,11387
32987,1047
24043,439
22624,665
45600,2496
23713,698
3668,3528
8594,4608
2178,3179
40609,1814
46837,2709
3160,3398
33906,1095
40530,1808
24520,720
1414,3005
33721,1084
42353,2016
21670,11643
28547,855
4514,3740
31369,970
14938,6526
23800,698
25272,743
2588,3273
16720,7399
2854,3332
39668,1720
21481,631
23918,702
5197,3897
37976,1561
19439,9290
22501,660
1746,3084
14847,6479
23373,684
4867,574
18337,8492
15052,6561
26999,459
247,2793
1567,561
24272,710
20962,10814
21932,641
20426,10241
11049,5170
28688,863
3518,3482
19150,9045
27660,827
15459,6727
32072,1004
32286,1013
17064,7585
30643,940
1275,2968
27017,802
20982,10850
10867,5131
42265,2001
23567,691
8718,4637
25803,764
25044,448
42378,2022
1355,2993
7698,4427
4573,573
35801,1250
5999,4092
32712,1033
31953,997
2952,3359
37803,517
13983,6134
39838,1737
43034,2122
25836,765
26845,795
9196,4724
38810,1637
32341,1013
4779,3799
5230,3906
41933,534
26531,787
38597,1622
31222,962
41498,1907
18011,8220
4330,3692
18500,8582
36949,1376
39819,1734
17271,7695
8997,4692
14670,608
4211,3669
22403,431
43320,2168
40955,1844
45643,2506
26755,790
18812,8796
17813,8049
5045,3864
45821,2536
29583,473
17280,7701
22563,663
38131,1577
27948,462
34523,1140
39036,1659
42199,1993
25505,753
43671,2230
20031,9837
16403,7217
3828,3568
40932,1841
18044,8251
